LIczba,czRMat,czRPot,czUz,czSys,czUzPot,czUzSys
349991,15.978362,1.015250,0.485739,15.492621,0.017772,16.636383
374990,17.352630,1.096534,0.587013,16.765616,0.018972,18.049740
399989,18.992401,1.186776,0.629798,18.362602,0.018504,19.619787
424988,19.879930,1.251799,0.575736,19.304193,0.020805,20.626265
449987,20.895810,1.324758,0.722562,20.173248,0.023402,21.716140
474986,21.095273,1.393280,0.763848,20.331426,0.022973,22.292787
499985,21.962792,1.466962,0.740287,21.222504,0.023252,23.380744
524984,22.750267,1.535883,0.775353,21.975147,0.022621,24.215862
549983,23.886480,1.607066,0.781825,23.104450,0.023872,25.355628
574982,25.096035,1.681331,0.846487,24.249547,0.022471,26.625150
599981,26.055480,1.752687,0.792376,25.263103,0.024695,27.709744
624980,27.278103,1.825780,0.810145,26.468278,0.030226,28.958059
649979,28.270306,1.899603,0.936919,27.333169,0.028043,30.012493
674978,29.268194,1.974350,0.947952,28.320190,0.028389,31.099888
699977,30.553194,2.045620,1.088798,29.464396,0.029826,32.361924
724976,32.367339,2.147522,1.192892,31.174446,0.032626,34.363788
749975,33.577310,2.214009,1.071623,32.505687,0.037080,35.451492
774974,34.803940,2.286906,1.217885,33.586055,0.034567,36.716136
799973,35.479310,2.354438,1.115371,34.363939,0.035336,37.580673
824972,38.022830,2.456108,1.168860,36.853971,0.036142,40.057572
849971,40.306180,2.547532,1.293286,39.012892,0.039162,42.583182
874970,39.604520,2.597432,1.231527,38.372993,0.038709,42.101738
899969,40.491766,2.666764,1.446061,39.045704,0.040675,42.922787
924968,40.649437,2.720290,1.313787,39.335649,0.038215,43.154315
949967,41.671403,2.793231,1.357844,40.313558,0.041692,44.295589
974966,42.432198,2.863670,1.402015,41.030183,0.044353,45.129843
----------------------------------------------------------------NEXT
5,0.000087,0.000004,0.000003,0.000084,0.000000,0.000051
25004,0.426572,0.019119,0.014217,0.412355,0.000150,0.245864
50003,0.830035,0.038273,0.023527,0.806509,0.000202,0.488462
75002,1.229443,0.059084,0.057489,1.171955,0.000317,0.750912
100001,1.654833,0.077370,0.080530,1.574303,0.000253,0.974517
125000,2.029669,0.098654,0.098668,1.931000,0.000332,1.214624
149999,2.440837,0.117114,0.127098,2.313738,0.000247,1.436348
174998,2.899429,0.138986,0.170469,2.728960,0.000398,1.701300
199997,3.271711,0.157224,0.151077,3.120633,0.000513,1.927302
224996,3.675696,0.177619,0.142082,3.533614,0.000493,2.186091
249995,4.135599,0.195298,0.217003,3.918596,0.000774,2.445642
274994,4.487248,0.213810,0.167560,4.319689,0.001033,2.659110
299993,4.942071,0.229668,0.209530,4.732541,0.000665,2.869737
324992,5.339517,0.254286,0.260237,5.079280,0.000725,3.152305
349991,5.730926,0.273584,0.180347,5.550578,0.000696,3.351608
374990,6.159042,0.294179,0.241367,5.917676,0.000980,3.606090
399989,6.557531,0.312845,0.257080,6.300450,0.000940,3.865489
424988,7.118696,0.353121,0.375587,6.743108,0.000925,4.309202
449987,7.404937,0.357906,0.304100,7.100837,0.001056,4.386761
474986,7.792199,0.371161,0.286093,7.506106,0.001375,4.571132
499985,8.214577,0.387688,0.348289,7.866287,0.001234,4.815646
524984,8.622034,0.411439,0.392316,8.229718,0.001049,5.053942
549983,9.046532,0.433606,0.330711,8.715820,0.001315,5.320077
574982,9.450891,0.451790,0.422215,9.028676,0.001603,5.530796
599981,9.898577,0.470943,0.502183,9.396393,0.001416,5.824634
624980,10.323085,0.507870,0.421782,9.897347,0.001681,6.140596
649979,10.723773,0.519334,0.488034,10.235739,0.001753,6.329317
674978,11.165600,0.538510,0.475594,10.690005,0.001881,6.614322
699977,11.574307,0.560431,0.592867,10.981439,0.001827,6.873554
724976,11.992385,0.579981,0.509627,11.482757,0.001887,7.123954
749975,12.397035,0.604384,0.571921,11.825113,0.001722,7.282634
774974,12.739767,0.608954,0.574839,12.164927,0.002512,7.483425
799973,13.221321,0.631675,0.484721,12.736599,0.002100,7.791039
824972,13.607865,0.648017,0.599861,13.008004,0.001779,7.962003
849971,14.504322,0.703522,0.669344,13.834978,0.002543,8.366440
874970,14.865390,0.724568,0.724953,14.140437,0.002280,8.577631
899969,15.312915,0.731914,0.681695,14.631220,0.002107,8.889998
924968,15.449330,0.638192,0.858906,14.590423,0.002270,9.606239
949967,16.209137,0.772103,0.694865,15.514272,0.002524,9.469517
974966,19.777127,0.680515,0.836558,18.940568,0.003980,13.463473
